Date,SP500,Gold
01/01/1871,4.44,18.93
02/01/1871,4.5,18.93
03/01/1871,4.61,18.93
04/01/1871,4.74,18.93
05/01/1871,4.86,18.93
06/01/1871,4.82,18.93
07/01/1871,4.73,18.93
08/01/1871,4.79,18.93
09/01/1871,4.84,18.93
10/01/1871,4.59,18.93
11/01/1871,4.64,18.93
12/01/1871,4.74,18.93
01/01/1872,4.86,18.94
02/01/1872,4.88,18.94
03/01/1872,5.04,18.94
04/01/1872,5.18,18.94
05/01/1872,5.18,18.94
06/01/1872,5.13,18.94
07/01/1872,5.1,18.94
08/01/1872,5.04,18.94
09/01/1872,4.95,18.94
10/01/1872,4.97,18.94
11/01/1872,4.95,18.94
12/01/1872,5.07,18.94
01/01/1873,5.11,18.94
02/01/1873,5.15,18.94
03/01/1873,5.11,18.94
04/01/1873,5.04,18.94
05/01/1873,5.05,18.94
06/01/1873,4.98,18.94
07/01/1873,4.97,18.94
08/01/1873,4.97,18.94
09/01/1873,4.59,18.94
10/01/1873,4.19,18.94
11/01/1873,4.04,18.94
12/01/1873,4.42,18.94
01/01/1874,4.66,18.94
02/01/1874,4.8,18.94
03/01/1874,4.73,18.94
04/01/1874,4.6,18.94
05/01/1874,4.48,18.94
06/01/1874,4.46,18.94
07/01/1874,4.46,18.94
08/01/1874,4.47,18.94
09/01/1874,4.54,18.94
10/01/1874,4.53,18.94
11/01/1874,4.57,18.94
12/01/1874,4.54,18.94
01/01/1875,4.54,18.94
02/01/1875,4.53,18.94
03/01/1875,4.59,18.94
04/01/1875,4.65,18.94
05/01/1875,4.47,18.94
06/01/1875,4.38,18.94
07/01/1875,4.39,18.94
08/01/1875,4.41,18.94
09/01/1875,4.37,18.94
10/01/1875,4.3,18.94
11/01/1875,4.37,18.94
12/01/1875,4.37,18.94
01/01/1876,4.46,18.94
02/01/1876,4.52,18.94
03/01/1876,4.51,18.94
04/01/1876,4.34,18.94
05/01/1876,4.18,18.94
06/01/1876,4.15,18.94
07/01/1876,4.1,18.94
08/01/1876,3.93,18.94
09/01/1876,3.69,18.94
10/01/1876,3.67,18.94
11/01/1876,3.6,18.94
12/01/1876,3.58,18.94
01/01/1877,3.55,18.94
02/01/1877,3.34,18.94
03/01/1877,3.17,18.94
04/01/1877,2.94,18.94
05/01/1877,2.94,18.94
06/01/1877,2.73,18.94
07/01/1877,2.85,18.94
08/01/1877,3.05,18.94
09/01/1877,3.24,18.94
10/01/1877,3.31,18.94
11/01/1877,3.26,18.94
12/01/1877,3.25,18.94
01/01/1878,3.25,18.94
02/01/1878,3.18,18.94
03/01/1878,3.24,18.94
04/01/1878,3.33,18.94
05/01/1878,3.34,18.94
06/01/1878,3.41,18.94
07/01/1878,3.48,18.94
08/01/1878,3.45,18.94
09/01/1878,3.52,18.94
10/01/1878,3.48,18.94
11/01/1878,3.47,18.94
12/01/1878,3.45,18.94
01/01/1879,3.58,18.94
02/01/1879,3.71,18.94
03/01/1879,3.65,18.94
04/01/1879,3.77,18.94
05/01/1879,3.94,18.94
06/01/1879,3.96,18.94
07/01/1879,4.04,18.94
08/01/1879,4.07,18.94
09/01/1879,4.22,18.94
10/01/1879,4.68,18.94
11/01/1879,4.93,18.94
12/01/1879,4.92,18.94
01/01/1880,5.11,18.94
02/01/1880,5.2,18.94
03/01/1880,5.3,18.94
04/01/1880,5.18,18.94
05/01/1880,4.77,18.94
06/01/1880,4.79,18.94
07/01/1880,5.01,18.94
08/01/1880,5.19,18.94
09/01/1880,5.18,18.94
10/01/1880,5.33,18.94
11/01/1880,5.61,18.94
12/01/1880,5.84,18.94
01/01/1881,6.19,18.94
02/01/1881,6.17,18.94
03/01/1881,6.24,18.94
04/01/1881,6.22,18.94
05/01/1881,6.5,18.94
06/01/1881,6.58,18.94
07/01/1881,6.35,18.94
08/01/1881,6.2,18.94
09/01/1881,6.25,18.94
10/01/1881,6.15,18.94
11/01/1881,6.19,18.94
12/01/1881,6.01,18.94
01/01/1882,5.92,18.94
02/01/1882,5.79,18.94
03/01/1882,5.78,18.94
04/01/1882,5.78,18.94
05/01/1882,5.71,18.94
06/01/1882,5.68,18.94
07/01/1882,6.0,18.94
08/01/1882,6.18,18.94
09/01/1882,6.24,18.94
10/01/1882,6.07,18.94
11/01/1882,5.81,18.94
12/01/1882,5.84,18.94
01/01/1883,5.81,18.94
02/01/1883,5.68,18.94
03/01/1883,5.75,18.94
04/01/1883,5.87,18.94
05/01/1883,5.77,18.94
06/01/1883,5.82,18.94
07/01/1883,5.73,18.94
08/01/1883,5.47,18.94
09/01/1883,5.53,18.94
10/01/1883,5.38,18.94
11/01/1883,5.46,18.94
12/01/1883,5.34,18.94
01/01/1884,5.18,18.94
02/01/1884,5.32,18.94
03/01/1884,5.3,18.94
04/01/1884,5.06,18.94
05/01/1884,4.65,18.94
06/01/1884,4.46,18.94
07/01/1884,4.46,18.94
08/01/1884,4.74,18.94
09/01/1884,4.59,18.94
10/01/1884,4.44,18.94
11/01/1884,4.35,18.94
12/01/1884,4.34,18.94
01/01/1885,4.24,18.94
02/01/1885,4.37,18.94
03/01/1885,4.38,18.94
04/01/1885,4.37,18.94
05/01/1885,4.32,18.94
06/01/1885,4.3,18.94
07/01/1885,4.46,18.94
08/01/1885,4.71,18.94
09/01/1885,4.65,18.94
10/01/1885,4.92,18.94
11/01/1885,5.24,18.94
12/01/1885,5.2,18.94
01/01/1886,5.2,18.94
02/01/1886,5.3,18.94
03/01/1886,5.19,18.94
04/01/1886,5.12,18.94
05/01/1886,5.02,18.94
06/01/1886,5.25,18.94
07/01/1886,5.33,18.94
08/01/1886,5.37,18.94
09/01/1886,5.51,18.94
10/01/1886,5.65,18.94
11/01/1886,5.79,18.94
12/01/1886,5.64,18.94
01/01/1887,5.58,18.94
02/01/1887,5.54,18.94
03/01/1887,5.67,18.94
04/01/1887,5.8,18.94
05/01/1887,5.9,18.94
06/01/1887,5.73,18.94
07/01/1887,5.59,18.94
08/01/1887,5.45,18.94
09/01/1887,5.38,18.94
10/01/1887,5.2,18.94
11/01/1887,5.3,18.94
12/01/1887,5.27,18.94
01/01/1888,5.31,18.94
02/01/1888,5.28,18.94
03/01/1888,5.08,18.94
04/01/1888,5.1,18.94
05/01/1888,5.17,18.94
06/01/1888,5.01,18.94
07/01/1888,5.14,18.94
08/01/1888,5.25,18.94
09/01/1888,5.38,18.94
10/01/1888,5.35,18.94
11/01/1888,5.24,18.94
12/01/1888,5.14,18.94
01/01/1889,5.24,18.93
02/01/1889,5.3,18.93
03/01/1889,5.19,18.93
04/01/1889,5.18,18.93
05/01/1889,5.32,18.93
06/01/1889,5.41,18.93
07/01/1889,5.3,18.93
08/01/1889,5.37,18.93
09/01/1889,5.5,18.93
10/01/1889,5.4,18.93
11/01/1889,5.35,18.93
12/01/1889,5.32,18.93
01/01/1890,5.38,18.94
02/01/1890,5.32,18.94
03/01/1890,5.28,18.94
04/01/1890,5.39,18.94
05/01/1890,5.62,18.94
06/01/1890,5.58,18.94
07/01/1890,5.54,18.94
08/01/1890,5.41,18.94
09/01/1890,5.32,18.94
10/01/1890,5.08,18.94
11/01/1890,4.71,18.94
12/01/1890,4.6,18.94
01/01/1891,4.84,18.96
02/01/1891,4.9,18.96
03/01/1891,4.81,18.96
04/01/1891,4.97,18.96
05/01/1891,4.95,18.96
06/01/1891,4.85,18.96
07/01/1891,4.77,18.96
08/01/1891,4.93,18.96
09/01/1891,5.33,18.96
10/01/1891,5.33,18.96
11/01/1891,5.25,18.96
12/01/1891,5.41,18.96
01/01/1892,5.51,18.96
02/01/1892,5.52,18.96
03/01/1892,5.58,18.96
04/01/1892,5.57,18.96
05/01/1892,5.57,18.96
06/01/1892,5.54,18.96
07/01/1892,5.54,18.96
08/01/1892,5.62,18.96
09/01/1892,5.48,18.96
10/01/1892,5.59,18.96
11/01/1892,5.57,18.96
12/01/1892,5.51,18.96
01/01/1893,5.61,18.96
02/01/1893,5.51,18.96
03/01/1893,5.31,18.96
04/01/1893,5.31,18.96
