Date,Value
1833,18.93
1834,18.93
1835,18.93
1836,18.93
1837,18.93
1838,18.93
1839,18.93
1840,18.93
1841,18.93
1842,18.93
1843,18.93
1844,18.93
1845,18.93
1846,18.93
1847,18.93
1848,18.93
1849,18.93
1850,18.93
1851,18.93
1852,18.93
1853,18.93
1854,18.93
1855,18.93
1856,18.93
1857,18.93
1858,18.93
1859,18.93
1860,18.93
1861,18.93
1862,18.93
1863,18.93
1864,18.93
1865,18.93
1866,18.93
1867,18.93
1868,18.93
1869,18.93
1870,18.93
1871,18.93
1872,18.94
1873,18.94
1874,18.94
1875,18.94
1876,18.94
1877,18.94
1878,18.94
1879,18.94
1880,18.94
1881,18.94
1882,18.94
1883,18.94
1884,18.94
1885,18.94
1886,18.94
1887,18.94
1888,18.94
1889,18.93
1890,18.94
1891,18.96
1892,18.96
1893,18.96
1894,18.94
1895,18.93
1896,18.98
1897,18.98
1898,18.98
1899,18.94
1900,18.96
1901,18.98
1902,18.97
1903,18.95
1904,18.96
1905,18.92
1906,18.9
1907,18.94
1908,18.95
1909,18.96
1910,18.92
1911,18.92
1912,18.93
1913,18.92
1914,18.99
1915,18.99
1916,18.99
1917,18.99
1918,18.99
1919,19.95
1920,20.68
1921,20.58
1922,20.66
1923,21.32
1924,20.69
1925,20.64
1926,20.63
1927,20.64
1928,20.66
1929,20.63
1930,20.65
1931,17.06
1932,20.69
1933,26.33
1934,34.69
1935,34.84
1936,34.87
1937,34.79
1938,34.85
1939,34.42
1940,33.85
1941,33.85
1942,33.85
1943,33.85
1944,33.85
1945,34.71
1946,34.71
1947,34.71
1948,34.71
1949,31.69
1950,34.72
1951,34.72
1952,34.6
1953,34.84
1954,35.04
1955,35.03
1956,34.99
1957,34.95
1958,35.1
1959,35.1
1960,35.27
1961,35.25
1962,35.23
1963,35.09
1964,35.1
1965,35.12
1966,35.13
1967,34.95
1968,39.31
1969,41.28
1970,36.02
1971,40.62
1972,58.42
1973,97.39
1974,154.0
1975,160.86
1976,124.74
1977,147.84
1978,193.4
1979,306.0
1980,615.0
1981,460.0
1982,376.0
1983,424.0
1984,361.0
1985,317.0
1986,368.0
1987,447.0
1988,437.0
1989,381.0
1990,383.51
1991,362.11
1992,343.82
1993,359.77
1994,384.0
1995,383.79
1996,387.81
1997,331.02
1998,294.24
1999,278.98
2000,279.11
1/8/2025,"2,677.95"
1/1/2025,"2,644.85"
11/1/2024,"2,701.25"
10/1/2024,"2,684.85"
8/1/2024,"2,470.25"
7/1/2024,"2,375.15"
6/1/2024,"2,325.15"
5/1/2024,"2,305.30"
4/1/2024,"2,263.55"
3/1/2024,"2,130.25"
2/1/2024,"2,042.95"
1/1/2024,"2,055.95"
12/1/2023,"2,050.35"
11/1/2023,"2,014.30"
9/1/2023,"1,899.05"
8/1/2023,"1,951.55"
7/1/2023,"1,944.20"
6/1/2023,"1,942.15"
5/1/2023,"1,972.00"
4/1/2023,"1,979.10"
3/1/2023,"1,898.05"
2/1/2023,"1,878.05"
12/1/2022,"1,794.20"
11/1/2022,"1,688.40"
10/1/2022,"1,651.55"
9/1/2022,"1,685.15"
8/1/2022,"1,738.35"
7/1/2022,"1,779.20"
6/1/2022,"1,817.55"
4/1/2022,"1,922.15"
3/1/2022,"1,928.75"
2/1/2022,"1,848.30"
1/1/2022,"1,812.55"
12/1/2021,"1,801.15"
11/1/2021,"1,780.55"
10/1/2021,"1,768.65"
9/1/2021,"1,784.40"
7/1/2021,"1,794.15"
6/1/2021,"1,837.95"
5/1/2021,"1,845.50"
4/1/2021,"1,737.05"
3/1/2021,"1,725.45"
2/1/2021,"1,797.35"
1/1/2021,"1,879.75"
12/1/2020,"1,834.05"
10/1/2020,"1,880.75"
9/1/2020,"1,924.60"
8/1/2020,"1,975.95"
7/1/2020,"1,878.20"
6/1/2020,"1,766.70"
5/1/2020,"1,711.75"
4/1/2020,"1,627.10"
2/1/2020,"1,578.50"
1/1/2020,"1,550.50"
11/1/2019,"1,488.30"
10/1/2019,"1,490.05"
8/1/2019,"1,465.20"
7/1/2019,"1,406.35"
6/1/2019,"1,358.35"
5/1/2019,"1,292.25"
4/1/2019,"1,287.30"
3/1/2019,"1,302.60"
2/1/2019,"1,316.55"
1/1/2019,"1,302.85"
12/1/2018,"1,250.40"
11/1/2018,"1,217.80"
10/1/2018,"1,201.95"
9/1/2018,"1,192.65"
8/1/2018,"1,211.60"
6/1/2018,"1,274.95"
5/1/2018,"1,306.65"
3/1/2018,"1,316.60"
2/1/2018,"1,329.65"
1/1/2018,"1,320.65"
12/1/2017,"1,290.20"
11/1/2017,"1,272.70"
9/1/2017,"1,300.85"
8/1/2017,"1,292.30"
7/1/2017,"1,251.30"
6/1/2017,"1,254.35"
5/1/2017,"1,270.35"
4/1/2017,"1,256.80"
3/1/2017,"1,247.55"
2/1/2017,"1,232.25"
12/1/2016,"1,161.35"
11/1/2016,"1,225.05"
10/1/2016,"1,292.50"
9/1/2016,"1,309.30"
8/1/2016,"1,327.85"
7/1/2016,"1,336.75"
6/1/2016,"1,267.05"
4/1/2016,"1,260.75"
3/1/2016,"1,237.35"
2/1/2016,"1,175.30"
1/1/2016,"1,089.90"
12/1/2015,"1,062.45"
10/1/2015,"1,128.35"
9/1/2015,"1,124.50"
8/1/2015,"1,113.55"
7/1/2015,"1,134.00"
6/1/2015,"1,181.05"
5/1/2015,"1,183.75"
4/1/2015,"1,182.65"
1/1/2015,"1,231.25"
12/1/2014,"1,171.95"
11/1/2014,"1,170.80"
10/1/2014,"1,189.40"
9/1/2014,"1,247.50"
8/1/2014,"1,284.95"
7/1/2014,"1,304.00"
5/1/2014,"1,267.15"
4/1/2014,"1,290.35"
3/1/2014,"1,309.65"
2/1/2014,"1,281.90"
1/1/2014,"1,222.20"
11/1/2013,"1,288.15"
10/1/2013,"1,325.80"
8/1/2013,"1,359.55"
7/1/2013,"1,273.55"
6/1/2013,"1,306.45"
5/1/2013,"1,434.20"
4/1/2013,"1,534.50"
3/1/2013,"1,587.20"
2/1/2013,"1,620.80"
1/1/2013,"1,666.70"
12/1/2012,"1,694.85"
11/1/2012,"1,716.60"
10/1/2012,"1,741.75"
9/1/2012,"1,730.10"
8/1/2012,"1,649.00"
6/1/2012,"1,581.75"
5/1/2012,"1,613.80"
3/1/2012,"1,683.95"
2/1/2012,"1,724.05"
12/1/2011,"1,656.40"
11/1/2011,"1,726.10"
10/1/2011,"1,676.00"
9/1/2011,"1,723.10"
8/1/2011,"1,725.75"
7/1/2011,"1,565.25"
6/1/2011,"1,519.00"
4/1/2011,"1,494.70"
3/1/2011,"1,427.10"
2/1/2011,"1,371.20"
1/1/2011,"1,374.70"
12/1/2010,"1,403.95"
11/1/2010,"1,372.65"
10/1/2010,"1,333.05"
9/1/2010,"1,277.05"
7/1/2010,"1,194.00"
6/1/2010,"1,235.15"
5/1/2010,"1,195.40"
4/1/2010,"1,152.60"
3/1/2010,"1,116.30"
2/1/2010,"1,099.65"
