Date,Value
1/8/2025,"5,917.02"
12/1/2024,"6,065.11"
11/1/2024,"5,929.92"
10/1/2024,"5,792.32"
9/1/2024,"5,621.26"
8/1/2024,"5,478.21"
7/1/2024,"5,538.00"
6/1/2024,"5,415.14"
5/1/2024,"5,235.22"
4/1/2024,"5,112.49"
3/1/2024,"5,170.57"
2/1/2024,"5,011.96"
1/1/2024,"4,804.49"
12/1/2023,"4,685.05"
11/1/2023,"4,460.06"
10/1/2023,"4,258.98"
9/1/2023,"4,409.10"
8/1/2023,"4,426.24"
7/1/2023,"4,508.08"
6/1/2023,"4,345.37"
5/1/2023,"4,146.17"
4/1/2023,"4,121.47"
3/1/2023,"3,968.56"
2/1/2023,"4,079.68"
1/1/2023,"3,960.66"
12/1/2022,"3,912.38"
11/1/2022,"3,917.49"
10/1/2022,"3,726.05"
9/1/2022,"3,850.52"
8/1/2022,"4,158.56"
7/1/2022,"3,911.73"
6/1/2022,"3,898.95"
5/1/2022,"4,040.36"
4/1/2022,"4,391.30"
3/1/2022,"4,391.27"
2/1/2022,"4,435.98"
1/1/2022,"4,573.82"
12/1/2021,"4,674.77"
11/1/2021,"4,667.39"
10/1/2021,"4,460.71"
9/1/2021,"4,445.54"
8/1/2021,"4,454.21"
7/1/2021,"4,363.71"
6/1/2021,"4,238.49"
5/1/2021,"4,167.85"
4/1/2021,"4,141.18"
3/1/2021,"3,910.51"
2/1/2021,"3,883.43"
1/1/2021,"3,793.75"
12/1/2020,"3,695.31"
11/1/2020,"3,548.99"
10/1/2020,"3,418.70"
9/1/2020,"3,365.52"
8/1/2020,"3,391.71"
7/1/2020,"3,207.62"
6/1/2020,"3,104.66"
5/1/2020,"2,919.61"
4/1/2020,"2,761.98"
3/1/2020,"2,652.39"
2/1/2020,"3,277.31"
1/1/2020,"3,278.20"
12/1/2019,"3,176.75"
11/1/2019,"3,104.90"
10/1/2019,"2,977.68"
9/1/2019,"2,982.16"
8/1/2019,"2,897.50"
7/1/2019,"2,996.11"
6/1/2019,"2,890.17"
5/1/2019,"2,854.71"
4/1/2019,"2,903.80"
3/1/2019,"2,803.98"
2/1/2019,"2,754.86"
1/1/2019,"2,607.39"
12/1/2018,"2,567.31"
11/1/2018,"2,723.23"
10/1/2018,"2,785.46"
9/1/2018,"2,901.50"
8/1/2018,"2,857.82"
7/1/2018,"2,793.64"
6/1/2018,"2,754.35"
5/1/2018,"2,701.49"
4/1/2018,"2,653.63"
3/1/2018,"2,702.77"
2/1/2018,"2,705.16"
1/1/2018,"2,789.80"
12/1/2017,"2,664.34"
11/1/2017,"2,593.61"
10/1/2017,"2,557.00"
9/1/2017,"2,492.84"
8/1/2017,"2,456.22"
7/1/2017,"2,454.10"
6/1/2017,"2,433.99"
5/1/2017,"2,395.35"
4/1/2017,"2,359.31"
3/1/2017,"2,366.82"
2/1/2017,"2,329.91"
1/1/2017,"2,275.12"
12/1/2016,"2,246.63"
11/1/2016,"2,164.99"
10/1/2016,"2,143.02"
9/1/2016,"2,157.69"
8/1/2016,"2,170.95"
7/1/2016,"2,148.90"
6/1/2016,"2,083.89"
5/1/2016,"2,065.55"
4/1/2016,"2,075.54"
3/1/2016,"2,021.95"
2/1/2016,"1,904.42"
1/1/2016,"1,918.60"
12/1/2015,"2,054.08"
11/1/2015,"2,080.62"
10/1/2015,"2,024.81"
9/1/2015,"1,944.41"
8/1/2015,"2,039.87"
7/1/2015,"2,094.14"
6/1/2015,"2,099.29"
5/1/2015,"2,111.94"
4/1/2015,"2,094.86"
3/1/2015,"2,079.99"
2/1/2015,"2,082.20"
1/1/2015,"2,028.18"
12/1/2014,"2,054.27"
11/1/2014,"2,044.57"
10/1/2014,"1,937.27"
9/1/2014,"1,993.23"
8/1/2014,"1,961.53"
7/1/2014,"1,973.10"
6/1/2014,"1,947.09"
5/1/2014,"1,889.77"
4/1/2014,"1,864.26"
3/1/2014,"1,863.52"
2/1/2014,"1,817.04"
1/1/2014,"1,822.36"
12/1/2013,"1,807.78"
11/1/2013,"1,783.54"
10/1/2013,"1,720.03"
9/1/2013,"1,687.17"
8/1/2013,"1,670.09"
7/1/2013,"1,668.68"
6/1/2013,"1,618.77"
5/1/2013,"1,639.84"
4/1/2013,"1,570.70"
3/1/2013,"1,550.83"
2/1/2013,"1,512.31"
1/1/2013,"1,480.40"
12/1/2012,"1,422.29"
11/1/2012,"1,394.51"
10/1/2012,"1,437.82"
9/1/2012,"1,443.42"
8/1/2012,"1,403.45"
7/1/2012,"1,359.78"
6/1/2012,"1,323.48"
5/1/2012,"1,341.27"
4/1/2012,"1,386.43"
3/1/2012,"1,389.24"
2/1/2012,"1,352.49"
1/1/2012,"1,300.58"
12/1/2011,"1,243.32"
11/1/2011,"1,226.42"
10/1/2011,"1,207.22"
9/1/2011,"1,173.88"
8/1/2011,"1,185.31"
7/1/2011,"1,325.19"
6/1/2011,"1,287.29"
5/1/2011,"1,338.31"
4/1/2011,"1,331.51"
3/1/2011,"1,304.49"
2/1/2011,"1,321.12"
1/1/2011,"1,282.62"
12/1/2010,"1,241.53"
11/1/2010,"1,198.89"
10/1/2010,"1,171.58"
9/1/2010,"1,122.08"
8/1/2010,"1,087.28"
7/1/2010,"1,079.80"
6/1/2010,"1,083.36"
5/1/2010,"1,125.06"
4/1/2010,"1,197.32"
3/1/2010,"1,152.05"
2/1/2010,"1,089.16"
1/1/2010,"1,123.58"
12/1/2009,"1,110.38"
11/1/2009,"1,088.07"
10/1/2009,"1,067.66"
9/1/2009,"1,044.55"
8/1/2009,"1,009.73"
7/1/2009,935.82
6/1/2009,926.12
5/1/2009,902.41
4/1/2009,848.15
3/1/2009,757.13
2/1/2009,805.23
1/1/2009,865.58
12/1/2008,877.56
11/1/2008,883.04
10/1/2008,968.80
9/1/2008,"1,216.95"
8/1/2008,"1,281.47"
7/1/2008,"1,257.33"
6/1/2008,"1,341.25"
5/1/2008,"1,403.22"
4/1/2008,"1,370.47"
3/1/2008,"1,316.94"
2/1/2008,"1,354.87"
1/1/2008,"1,378.76"
12/1/2007,"1,479.22"
11/1/2007,"1,463.39"
10/1/2007,"1,539.66"
9/1/2007,"1,497.12"
8/1/2007,"1,454.62"
7/1/2007,"1,520.71"
6/1/2007,"1,514.19"
5/1/2007,"1,511.14"
4/1/2007,"1,463.64"
3/1/2007,"1,406.95"
2/1/2007,"1,444.80"
1/1/2007,"1,424.16"
12/1/2006,"1,416.42"
11/1/2006,"1,388.64"
10/1/2006,"1,363.38"
9/1/2006,"1,317.74"
8/1/2006,"1,287.15"
7/1/2006,"1,260.24"
6/1/2006,"1,253.17"
5/1/2006,"1,290.01"
4/1/2006,"1,302.17"
3/1/2006,"1,293.74"
2/1/2006,"1,276.65"
